,Accession,Host,Isolation Host,staining
3693,NC_024217,Nitrincola,Nitrincola sp.,negative
3694,NC_024215,Lactococcus,Lactococcus lactis,positive
3695,NC_024214,Lactococcus,Lactococcus lactis,positive
3696,NC_024208,Lactococcus,Lactococcus lactis,positive
3697,NC_024203,Lactococcus,Lactococcus lactis,positive
3698,NC_024212,Enterococcus,Enterococcus faecalis,positive
3700,NC_024204,Salmonella,Salmonella enterica,positive
3701,NC_024149,Lactococcus,Lactococcus garvieae,positive
3702,NC_024146,Escherichia,Escherichia coli,negative
3704,NC_024139,Escherichia,Escherichia coli,negative
3706,NC_024134,Escherichia,Escherichia coli,negative
3707,NC_024121,Serratia,Serratia marcescens,negative
3709,NC_021342,Edwardsiella,Edwardsiella ictaluri,negative
3711,NC_022768,Salmonella,Salmonella typhimurium,positive
3712,NC_022972,Arthrobacter,Arthrobacter sp.,positive
3713,NC_023865,Pectobacterium,Pectobacterium carotovorum,negative
3714,NC_023859,Microbacterium,Microbacterium oxydans,positive
3715,NC_023736,Ralstonia,Ralstonia solanacearum,negative
3716,NC_023735,Rhodococcus,Rhodococcus equi,positive
3717,NC_023734,Psychrobacter,Psychrobacter sp.,negative
3718,NC_023722,Rhodococcus,Rhodococcus equi,positive
3719,NC_023717,Cronobacter,Cronobacter sakazakii,negative
3720,NC_023715,Yersinia,Yersinia pestis,negative
3721,NC_023706,Rhodococcus,Rhodococcus equi,positive
3722,NC_023694,Rhodococcus,Rhodococcus equi,positive
3723,NC_023688,Aeromonas,Aeromonas salmonicida,negative
3724,NC_023614,Croceibacter,Croceibacter atlanticus,negative
3725,NC_023612,Geobacillus,Geobacillus kaustophilus,positive
3726,NC_023605,Vibrio,Vibrio alginolyticus,negative
3727,NC_023604,Mycobacterium,Mycobacterium smegmatis,positive
3728,NC_023551,Enterococcus,Enterococcus sp.,positive
3729,NC_023549,Clavibacter,Clavibacter michiganensis,positive
3730,NC_023606,Mycobacterium,Mycobacterium smegmatis,positive
3732,NC_023597,Mycobacterium,Mycobacterium smegmatis,positive
3733,NC_023593,Escherichia,Escherichia coli,negative
3734,NC_023590,Acinetobacter,Acinetobacter baumannii,negative
3735,NC_023589,Shigella,Shigella boydii,negative
3736,NC_023588,Stenotrophomonas,Stenotrophomonas maltophilia,negative
3737,NC_023587,Synechococcus,Synechococcus sp.,negative
3738,NC_023584,Synechococcus,Synechococcus sp.,negative
3739,NC_023581,Acinetobacter,Acinetobacter baumannii,negative
3740,NC_023574,Lactococcus,Lactococcus lactis,positive
3741,NC_023570,Acinetobacter,Acinetobacter baumannii,negative
3742,NC_023569,Vibrio,Vibrio parahaemolyticus,negative
3744,NC_023561,Enterobacter,Enterobacter cloacae,negative
3745,NC_023555,Edwardsiella,Edwardsiella ictaluri,negative
3746,NC_023610,Erwinia,Erwinia amylovora,negative
3747,NC_023608,Salmonella,Salmonella enterica,positive
3748,NC_023592,Haloarcula,Haloarcula hispanica,negative
3749,NC_023585,Sulfolobus,Sulfolobus solfataricus,negative
3751,NC_023576,Citrobacter,Citrobacter rodentium,negative
3753,NC_023573,Staphylococcus,Staphylococcus aureus,positive
3754,NC_023571,Oenococcus,Oenococcus oeni,positive
3755,NC_023568,Vibrio,Vibrio harveyi,negative
3756,NC_023560,Oenococcus,Oenococcus oeni,positive
3757,NC_023548,Citrobacter,Citrobacter rodentium,negative
3759,NC_023500,Staphylococcus,Staphylococcus aureus,positive
3760,NC_023499,Staphylococcus,Staphylococcus aureus,positive
3763,NC_022762,Lactobacillus,Lactobacillus delbrueckii,positive
3764,NC_022772,Salmonella,Salmonella enteritidis,positive
3771,NC_023009,Staphylococcus,Staphylococcus aureus,positive
3774,NC_022987,Xylella,Xylella fastidiosa,negative
3776,NC_022982,Xylella,Xylella fastidiosa,negative
3781,NC_022917,Ralstonia,Ralstonia solanacearum,negative
3782,NC_022916,Burkholderia,Burkholderia cenocepacia,negative
3783,NC_022915,Ralstonia,Ralstonia solanacearum,negative
3784,NC_022914,Staphylococcus,Staphylococcus saprophyticus,positive
3788,NC_022758,Staphylococcus,methicillin-resistant Staphylococcus,positive
3789,NC_022754,Salmonella,Salmonella enteritidis,positive
3790,NC_022752,Salmonella,Salmonella enteritidis,positive
3791,NC_022750,Escherichia,Escherichia coli,negative
3792,NC_022749,Shigella,Shigella flexneri,negative
3793,NC_022747,Vibrio,Vibrio cholerae,negative
3795,NC_022342,Propionibacterium,Propionibacterium acnes,positive
3796,NC_022341,Propionibacterium,Propionibacterium acnes,positive
3797,NC_022340,Propionibacterium,Propionibacterium acnes,positive
3798,NC_022339,Propionibacterium,Propionibacterium acnes,positive
3799,NC_022338,Propionibacterium,Propionibacterium acnes,positive
3800,NC_022337,Propionibacterium,Propionibacterium acnes,positive
3801,NC_022336,Propionibacterium,Propionibacterium acnes,positive
3802,NC_022335,Propionibacterium,Propionibacterium acnes,positive
3803,NC_022334,Propionibacterium,Propionibacterium acnes,positive
3804,NC_022323,Escherichia,Escherichia coli,negative
3805,NC_021773,Staphylococcus,Staphylococcus aureus,positive
3810,NC_021863,Staphylococcus,Staphylococcus aureus,positive
3811,NC_021861,Lactococcus,Lactococcus lactis,positive
3812,NC_021806,Cellulophaga,Cellulophaga baltica,negative
3813,NC_021804,Cellulophaga,Cellulophaga baltica,negative
3814,NC_021803,Cellulophaga,Cellulophaga baltica,negative
3815,NC_021802,Cellulophaga,Cellulophaga baltica,negative
3816,NC_021801,Staphylococcus,Staphylococcus aureus,positive
3817,NC_021800,Cellulophaga,Cellulophaga baltica,negative
3818,NC_021799,Cellulophaga,Cellulophaga baltica,negative
3819,NC_021798,Cellulophaga,Cellulophaga baltica,negative
3820,NC_021796,Cellulophaga,Cellulophaga baltica,negative
3821,NC_021795,Cellulophaga,Cellulophaga baltica,negative
3822,NC_021794,Cellulophaga,Cellulophaga baltica,negative
3823,NC_021792,Cellulophaga,Cellulophaga baltica,negative
3824,NC_021791,Cellulophaga,Cellulophaga baltica,negative
3825,NC_021790,Cellulophaga,Cellulophaga baltica,negative
3826,NC_021789,Cellulophaga,Cellulophaga baltica,negative
3827,NC_021788,Cellulophaga,Cellulophaga baltica,negative
3830,NC_021774,Salmonella,Salmonella enterica,positive
3831,NC_021772,Salmonella,Salmonella enterica,positive
3832,NC_021782,Salmonella,Salmonella enterica,positive
3833,NC_021776,Vibrio,Vibrio parahaemolyticus,negative
3834,NC_021775,Salmonella,Salmonella enterica,positive
3835,NC_021556,Mycobacterium,Mycobacterium tuberculosis;,positive
3836,NC_021540,Vibrio,Vibrio cholerae,negative
3837,NC_021533,Mycobacterium,Mycobacterium smegmatis,positive
3838,NC_021532,Alteromonas,Alteromonas macleodii,negative
3839,NC_021531,Cronobacter,Cronobacter sakazakii,negative
3840,NC_021344,Escherichia,Escherichia coli,negative
3841,NC_021347,Rhodococcus,Rhodococcus equi,positive
3842,NC_021343,Burkholderia,Burkholderia pseudomallei,negative
3843,NC_021338,Mycobacterium,Mycobacterium tuberculosis;,positive
3844,NC_021337,Acinetobacter,carbapenem-resistant Acinetobacter,negative
3846,NC_021334,Mycobacterium,mycobacterium smegmatis,positive
3847,NC_021332,Staphylococcus,Staphylococcus aureus,positive
3848,NC_021326,Staphylococcus,Staphylococcus aureus,positive
3850,NC_021323,Staphylococcus,Staphylococcus aureus,positive
3851,NC_021318,Mycobacterium,Mycobacterium tuberculosis;,positive
3852,NC_021316,Acinetobacter,Acinetobacter baumannii,negative
3853,NC_021300,Pseudoalteromonas,Pseudoalteromonas marina,negative
3856,NC_020998,Haloarcula,Haloarcula hispanica,negative
3858,NC_020880,Leuconostoc,Leuconostoc pseudomesenteroides,positive
3859,NC_020879,Aeromonas,Aeromonas sp.,negative
3860,NC_020876,Mycobacterium,Mycobacterium smegmatis,positive
3862,NC_020870,Leuconostoc,Leuconostoc pseudomesenteroides,positive
3863,NC_020489,Rhodobacter,Rhodobacter capsulatus,negative
3864,NC_020488,Vibrio,Vibrio vulnificus,negative
3865,NC_020484,Pelagibacter,Candidatus Pelagibacter,negative
3866,NC_020483,Pelagibacter,Candidatus Pelagibacter,negative
3867,NC_020482,Pelagibacter,Candidatus Pelagibacter,negative
3868,NC_020481,Pelagibacter,Candidatus Pelagibacter,negative
3869,NC_020416,Salmonella,Salmonella enterica,positive
3870,NC_016989,Haloarcula,Haloarcula hispanica,negative
3871,NC_020080,Klebsiella,Klebsiella pneumoniae,negative
3872,NC_020077,Sulfolobus,Sulfolobus,negative
3873,NC_020205,Xanthomonas,Xanthomonas citri,negative
3874,NC_020204,Klebsiella,Klebsiella pneumoniae,negative
3875,NC_020201,Pectobacterium,Pectobacterium atrosepticum,negative
3876,NC_020083,Serratia,Serratia sp.,negative
3878,NC_019934,Cronobacter,Cronobacter sakazakii,negative
3879,NC_019932,Erwinia,Erwinia amylovora,negative
3880,NC_019931,Helicobacter,Helicobacter pylori,negative
3881,NC_019930,Tetrasphaera,Tetrasphaera jenkinsii,positive
3882,NC_019929,Erwinia,Erwinia amylovora,negative
3883,NC_019928,Helicobacter,Helicobacter pylori,negative
3884,NC_019927,Cronobacter,Cronobacter sakazakii,negative
3887,NC_019915,Staphylococcus,Staphylococcus capitis,positive
3888,NC_019914,Staphylococcus,Staphylococcus hominis,positive
3890,NC_019909,Yersinia,Yersinia enterocolitica,negative
3892,NC_019726,Staphylococcus,Staphylococcus aureus,positive
3893,NC_019550,Liberibacter,Candidatus Liberibacter,negative
3894,NC_019549,Liberibacter,Candidatus Liberibacter,negative
3895,NC_019545,Salmonella,Salmonella typhimurium,positive
3896,NC_019543,Aeromonas,Aeromonas salmonicida,negative
3897,NC_019541,Acinetobacter,Acinetobacter baumannii,negative
3898,NC_019539,Salmonella,Salmonella enterica,positive
3899,NC_019538,Aeromonas,Aeromonas hydrophila,negative
3900,NC_019530,Salmonella,Salmonella typhimurium,positive
3901,NC_019529,Vibrio,Vibrio parahaemolyticus,negative
3902,NC_019528,Aeromonas,Aeromonas salmonicida,negative
3903,NC_019527,Aeromonas,Aeromonas salmonicida,negative
3904,NC_019526,Klebsiella,Klebsiella sp.,negative
3905,NC_019525,Bdellovibrio,Bdellovibrio bacteriovorus,negative
3907,NC_019522,Pectobacterium,Pectobacterium carotovorum,negative
3908,NC_019520,Escherichia,Escherichia sp.,negative
3909,NC_019518,Vibrio,Vibrio cholerae,negative
3910,NC_019517,Escherichia,Escherichia coli,negative
3912,NC_019514,Erwinia,Erwinia amylovora,negative
3913,NC_019513,Staphylococcus,Staphylococcus aureus,positive
3914,NC_019512,Helicobacter,Helicobacter pylori,negative
3915,NC_019510,Erwinia,Erwinia amylovora,negative
3918,NC_019505,Escherichia,Escherichia coli,negative
3919,NC_019504,Erwinia,Erwinia amylovora,negative
3920,NC_019503,Escherichia,Escherichia coli,negative
3922,NC_019501,Escherichia,Escherichia coli,negative
3923,NC_019500,Escherichia,Escherichia coli,negative
3925,NC_019490,Riemerella,Riemerella anatipestifer,negative
3926,NC_019489,Lactobacillus,Lactobacillus sp.,positive
3927,NC_019488,Salmonella,Salmonella enterica,positive
3928,NC_019486,Lactobacillus,Lactobacillus sp.,positive
3929,NC_019485,Enterobacter,Enterobacter cloacae,negative
3930,NC_019455,Haemophilus,Haemophilus parasuis,negative
3931,NC_019454,Pantoea,Pantoea agglomerans,negative
3932,NC_019452,Escherichia,Escherichia coli,negative
3935,NC_019448,Staphylococcus,Staphylococcus aureus,positive
3936,NC_019447,Brucella,Brucella melitensis,negative
3937,NC_019446,Brucella,Brucella abortus,negative
3938,NC_019445,Escherichia,Escherichia coli,negative
3939,NC_019442,Escherichia,Escherichia coli,negative
3941,NC_019423,Escherichia,Escherichia coli,negative
3945,NC_019416,Stenotrophomonas,Stenotrophomonas maltophilia,negative
3946,NC_019410,Caulobacter,Caulobacter crescentus,negative
3947,NC_019407,Caulobacter,Caulobacter crescentus,negative
3948,NC_019406,Caulobacter,Caulobacter crescentus,negative
3949,NC_019403,Escherichia,Escherichia coli,negative
3950,NC_019402,Cronobacter,Cronobacter sakazakii,negative
3951,NC_019401,Cronobacter,Cronobacter sakazakii,negative
3952,NC_019400,Cronobacter,Cronobacter sakazakii,negative
3953,NC_019399,Escherichia,Escherichia coli,negative
3954,NC_019398,Cronobacter,Cronobacter sakazakii,negative
3956,NC_018861,Campylobacter,Campylobacter jejuni,negative
3958,NC_018859,Escherichia,Escherichia coli,negative
3960,NC_018855,Escherichia,Escherichia coli,negative
3961,NC_018854,Escherichia,Escherichia coli,negative
3962,NC_018852,Propionibacterium,Cutibacterium acnes,positive
3963,NC_018851,Propionibacterium,Cutibacterium acnes,positive
3964,NC_018849,Propionibacterium,Cutibacterium acnes,positive
3966,NC_018847,Propionibacterium,Cutibacterium acnes,positive
3967,NC_018846,Escherichia,Escherichia coli,negative
3968,NC_018845,Propionibacterium,Cutibacterium acnes,positive
3969,NC_018843,Salmonella,Salmonella enterica,positive
3970,NC_018842,Propionibacterium,Cutibacterium acnes,positive
3971,NC_018841,Propionibacterium,Cutibacterium acnes,positive
3972,NC_018840,Propionibacterium,Cutibacterium acnes,positive
3973,NC_018839,Propionibacterium,Cutibacterium acnes,positive
3974,NC_018838,Propionibacterium,Cutibacterium acnes,positive
3976,NC_018835,Escherichia,Escherichia coli,negative
3977,NC_018834,Propionibacterium,Cutibacterium acnes,positive
3978,NC_018832,Providencia,Providencia stuartii,negative
3979,NC_018831,Listeria,Listeria sp.,positive
3981,NC_018454,Cronobacter,UV-induced Cronobacter,negative
3982,NC_018283,Burkholderia,Burkholderia cenocepacia,negative
3984,NC_018280,Celeribacter,Celeribacter sp.,negative
3985,NC_018278,Burkholderia,Burkholderia cenocepacia,negative
3986,NC_018276,Croceibacter,Croceibacter atlanticus,negative
3988,NC_018273,Leuconostoc,Leuconostoc mesenteroides,positive
3989,NC_018272,Nonlabens,Persicivirga sp.,negative
3990,NC_018271,Nonlabens,Persicivirga sp.,negative
3991,NC_018270,Weissella,Weissella cibaria,positive
3992,NC_018269,Marinomonas,Marinomonas sp.,negative
3993,NC_018277,Staphylococcus,Staphylococcus pasteuri,positive
3996,NC_017090,Halogeometricum,Halogeometricum sp.,negative
3997,NC_017089,Halorubrum,Halorubrum sp.,negative
3998,NC_017088,Halorubrum,Halorubrum sp.,negative
3999,NC_017087,Halorubrum,Halorubrum sp.,negative
4001,NC_018086,Enterococcus,Enterococcus faecalis,positive
4005,NC_017985,Salmonella,Salmonella sp.,positive
4006,NC_017981,Xanthomonas,Xanthomonas vesicatoria,negative
4009,NC_017974,Cronobacter,Cronobacter sakazakii,negative
4010,NC_017984,Acinetobacter,Acinetobacter baumannii,negative
4011,NC_017983,Salisaeta,Salisaeta sp.,negative
4013,NC_017973,Mycobacterium,Mycobacterium smegmatis,positive
4014,NC_017968,Staphylococcus,Staphylococcus aureus,positive
4017,NC_017732,Enterococcus,Enterococcus faecalis,positive
4019,NC_016763,Salmonella,Salmonella enterica,positive
4020,NC_016770,Bacteroides,Bacteroides fragilis,negative
4021,NC_016767,Erwinia,Erwinia pyrifoliae,negative
4022,NC_016766,Synechococcus,Synechococcus sp.,negative
4025,NC_016761,Salmonella,pathenogenic Salmonella,positive
4026,NC_006940,Salmonella,Salmonella enterica,positive
4027,NC_016655,Rhodococcus,Rhodococcus equi,positive
4028,NC_016654,Rhodococcus,Rhodococcus equi,positive
4029,NC_016653,Rhodococcus,Rhodococcus erythropolis,positive
4030,NC_016652,Rhodococcus,Rhodococcus equi,positive
4031,NC_016651,Rhodococcus,Rhodococcus rhodochrous,positive
4032,NC_016569,Nocardia,Nocardia brasiliensis,positive
4034,NC_016568,Helicobacter,Helicobacter pylori,negative
4035,NC_016565,Staphylococcus,Staphylococcus aureus,positive
4037,NC_016566,Shigella,Shigella sonnei,negative
4038,NC_016564,Planktothrix,Planktothrix agardhii,negative
4039,NC_016071,Salmonella,Salmonella enteritidis,positive
4040,NC_016435,Gordonia,Gordonia rubropertincta,positive
4041,NC_016434,Gordonia,Gordonia terrae,positive
4042,NC_016166,Gordonia,Gordonia terrae,positive
4043,NC_016163,Yersinia,Yersinia enterocolitica,negative
4044,NC_009993,Mycobacterium,Mycolicibacterium smegmatis,positive
4045,NC_016165,Rhodobacter,Rhodobacter capsulatus,negative
4046,NC_016164,Synechococcus,Synechococcus sp.,negative
4047,NC_016160,Escherichia,Escherichia coli,negative
4048,NC_016158,Escherichia,Escherichia coli,negative
4049,NC_016073,Salmonella,Salmonella sp.,positive
4050,NC_015938,Salmonella,Salmonella enterica,positive
4051,NC_015937,Thermus,Thermus thermophilus,negative
4052,NC_015585,Pantoea,Pantoea agglomerans,negative
4053,NC_015721,Bdellovibrio,Bdellovibrio bacteriovorus,negative
4054,NC_015720,Gordonia,Gordonia terrae,positive
4055,NC_015569,Synechococcus,Synechococcus sp.,negative
4057,NC_015466,Roseobacter,Roseobacter denitrificans,negative
4058,NC_015465,Synechococcus,Synechococcus sp.,negative
4059,NC_015463,Synechococcus,Synechococcus sp.,negative
4060,NC_015457,Shigella,Shigella flexneri,negative
4061,NC_015254,Brochothrix,Brochothrix thermosphacta,positive
4062,NC_015293,Pseudoalteromonas,Pseudoalteromonas sp.,negative
4063,NC_015273,Burkholderia,Burkholderia cenocepacia,negative
4064,NC_015270,Enterococcus,Enterococcus faecalis,positive
4065,NC_015266,Burkholderia,Burkholderia ambifaria,negative
4066,NC_015265,Burkholderia,Burkholderia cenocepacia,negative
4067,NC_015263,Lactococcus,Lactococcus lactis,positive
4068,NC_015253,Brochothrix,Brochothrix thermosphacta,positive
4069,NC_015252,Brochothrix,Brochothrix thermosphacta,positive
4070,NC_015271,Salmonella,Salmonella enterica,positive
4073,NC_015249,Escherichia,Escherichia coli,negative
4074,NC_015210,Tsukamurella,Tsukamurella paurometabola,positive
4075,NC_015159,Vibrio,Vibrio cholerae,negative
4076,NC_015158,Vibrio,Vibrio cholerae,negative
4077,NC_015157,Vibrio,Vibrio cholerae,negative
4078,NC_014900,Salmonella,Salmonella enterica,positive
4079,NC_014792,Escherichia,Escherichia coli,negative
4080,NC_014663,Acinetobacter,Acinetobacter johnsonii,negative
4081,NC_014662,Escherichia,Escherichia coli,negative
4082,NC_014661,Acinetobacter,Acinetobacter johnsonii,negative
4083,NC_014636,Aeromonas,Aeromonas salmonicida,negative
4084,NC_014635,Aeromonas,Aeromonas salmonicida,negative
4085,NC_014595,Shigella,Shigella sonnei,negative
4086,NC_014260,Escherichia,Escherichia coli,negative
4088,NC_014099,Sulfolobus,Sulfolobus sp.,negative
4089,NC_014036,Klebsiella,Klebsiella pneumoniae,negative
4090,NC_013649,Klebsiella,Klebsiella pneumoniae,negative
4091,NC_013758,Haloarcula,Haloarcula hispanica,negative
4093,NC_013693,Shigella,Shigella boydii,negative
4094,NC_013697,Delftia,Delftia acidovorans,negative
4096,NC_013698,Clavibacter,Clavibacter michiganensis,positive
4097,NC_013696,Enterococcus,Enterococcus faecalis,positive
4098,NC_013643,Enterococcus,Enterococcus faecalis,positive
